Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	acc_dev	F1_dev	P_dev	R_dev	AUC_test	PRC_test	acc_test	F1_test	P_test	R_test
1	252.36676299199462	543.7550326883793	0.5287551506567088	0.533815544215062	0.5092198581560283	0.40753424657534243	0.5151515151515151	0.3371104815864023	0.5370605845995364	0.5238407950627136	0.5134751773049645	0.37294332723948814	0.5257731958762887	0.28895184135977336
2	505.53328827768564	408.28028152510524	0.5760124259593098	0.5653757179754404	0.548936170212766	0.29955947136563876	0.6732673267326733	0.19263456090651557	0.5935407545712078	0.5848414380613219	0.5390070921985816	0.22062350119904076	0.71875	0.13031161473087818
3	756.7682421803474	346.9598307721317	0.5723667267576615	0.5513938014145977	0.5361702127659574	0.4522613065326633	0.5532786885245902	0.38243626062322944	0.604775624517126	0.5939898937394475	0.5702127659574469	0.454054054054054	0.6237623762376238	0.35694050991501414
4	1008.6622827425599	307.69540095329285	0.5711193020860159	0.5580592942417346	0.548936170212766	0.4952380952380952	0.5631768953068592	0.44192634560906513	0.5974198429049703	0.5666835458960545	0.5602836879432624	0.5	0.5805243445692884	0.43909348441926344
5	1259.2401899248362	269.6662146374583	0.5610996652073139	0.5487416500008191	0.526241134751773	0.41403508771929826	0.543778801843318	0.3342776203966006	0.6045824748905486	0.5682408590342816	0.5531914893617021	0.4155844155844156	0.6021505376344086	0.31728045325779036
6	1506.3021596372128	246.40987175889313	0.5554580865310327	0.5392864586613172	0.5276595744680851	0.5194805194805195	0.5294117647058824	0.509915014164306	0.5924462400206026	0.5608167738117584	0.5631205673758866	0.5549132947976879	0.5663716814159292	0.5439093484419264
7	1755.728392392397	221.61928715277463	0.5524562194179758	0.5430248556416186	0.5531914893617021	0.49275362318840576	0.5708955223880597	0.43342776203966005	0.597476178212722	0.5731786490691456	0.5872340425531914	0.5329052969502408	0.6148148148148148	0.4702549575070821
8	2007.231779448688	203.55574145913124	0.5512168426474375	0.5337846008711358	0.5219858156028369	0.46251993620414666	0.5291970802919708	0.41076487252124644	0.5929693535925831	0.5649764548797979	0.5673758865248227	0.5088566827697263	0.5895522388059702	0.4475920679886686
9	2252.543643422425	190.289637115784	0.5815332861189801	0.5620682164334202	0.5687943262411348	0.5835616438356165	0.5649867374005305	0.603399433427762	0.5998020216327582	0.5613444839705226	0.6	0.6199460916442048	0.5912596401028277	0.6515580736543909
10	2501.237860314548	178.74492097413167	0.5609548029873809	0.5417646910317298	0.5517730496453901	0.4935897435897435	0.5682656826568265	0.43626062322946174	0.5889614988411022	0.5792492413608198	0.5574468085106383	0.4983922829581994	0.5762081784386617	0.43909348441926344
11	2748.8507559224963	169.93143111700192	0.5522228302858615	0.5318029841281195	0.5390070921985816	0.508320726172466	0.5454545454545454	0.47592067988668557	0.568012812258563	0.5525321795964574	0.548936170212766	0.5167173252279634	0.5573770491803278	0.48158640226628896
12	2993.127351935953	158.08720002393238	0.5576793072366726	0.5446572985779593	0.5418439716312057	0.5053598774885146	0.55	0.46742209631728043	0.5554178470254958	0.5534204112328002	0.5234042553191489	0.48148148148148145	0.5288135593220339	0.44192634560906513
13	3239.9939326904714	151.30679390067235	0.5702662245686325	0.5409209846351382	0.5617021276595745	0.5103011093502378	0.579136690647482	0.45609065155807366	0.5855813803759979	0.5744777715938534	0.5716312056737589	0.516025641025641	0.5940959409594095	0.45609065155807366
14	3483.090155493468	143.0474475978408	0.5742579835178985	0.5462523968426278	0.5475177304964539	0.5173978819969742	0.5551948051948052	0.48441926345609065	0.5925226950811229	0.5564823271947348	0.5787234042553191	0.5506807866868383	0.5909090909090909	0.5155807365439093
15	3734.5997944809496	145.96639634808525	0.5737590136492403	0.5524264016795786	0.5546099290780142	0.5368731563421829	0.56	0.5155807365439093	0.5843822431109966	0.5565165424193625	0.5574468085106383	0.5357142857142857	0.5642633228840125	0.509915014164306
16	3980.0010276176035	136.3096310319379	0.5724874452742725	0.5594742293946651	0.5602836879432624	0.5507246376811593	0.5637982195845698	0.5382436260623229	0.5728013134174608	0.5545115869202466	0.5645390070921986	0.5657708628005658	0.5649717514124294	0.56657223796034
17	4226.080388970673	130.25523089582566	0.5647373165078547	0.5405522043827871	0.5460992907801419	0.49685534591194963	0.558303886925795	0.4475920679886686	0.5821851661086788	0.5744341925765928	0.5858156028368794	0.5437500000000001	0.6062717770034843	0.49291784702549574
18	4471.097840726376	123.05838429415599	0.5322077002317795	0.5226783902974221	0.5319148936170213	0.47452229299363063	0.5418181818181819	0.42209631728045327	0.5673931238732939	0.5450987946037511	0.5574468085106383	0.5170278637770899	0.5699658703071673	0.4730878186968839
19	4719.751127254218	121.80785851646215	0.550669585372135	0.5430417491048266	0.5234042553191489	0.45276872964169385	0.5325670498084292	0.3937677053824363	0.6057494205511202	0.5900063173754415	0.5546099290780142	0.48859934853420195	0.5747126436781609	0.42492917847025496
20	4962.608997825533	121.60466760932468	0.551462303631213	0.5328026412728784	0.5234042553191489	0.3956834532374101	0.541871921182266	0.311614730878187	0.5814608550090137	0.5698584399643314	0.548936170212766	0.4341637010676157	0.583732057416268	0.34560906515580736
21	5207.868166282773	117.37926537916064	0.5740889775946433	0.5426029887622029	0.5645390070921986	0.5491923641703377	0.5701219512195121	0.5297450424929179	0.5909372585629669	0.5713837298740534	0.5716312056737589	0.5597667638483965	0.5765765765765766	0.5439093484419264
22	5452.150009587407	113.99998369149398	0.5852312966778264	0.5554517690730119	0.5546099290780142	0.5271084337349397	0.5627009646302251	0.49575070821529743	0.6044698042750452	0.592695688810696	0.5673758865248227	0.5521292217327459	0.573170731707317	0.5325779036827195
23	5696.8838867768645	108.55445145710837	0.5612203837239248	0.5276560115826082	0.548936170212766	0.5350877192982457	0.552870090634441	0.5184135977337111	0.6002969675508628	0.5761399037203219	0.5631205673758866	0.5389221556886228	0.5714285714285714	0.509915014164306
24	5944.135575041175	105.26724254945293	0.5828611898016998	0.561461150820483	0.5659574468085107	0.5391566265060241	0.5755627009646302	0.5070821529745042	0.5951503347926861	0.5806892485230862	0.573049645390071	0.5567010309278351	0.5797546012269938	0.5354107648725213
25	6190.256687283516	103.50983880308922	0.57460806721607	0.5516427612930078	0.5517730496453901	0.5586592178770949	0.5509641873278237	0.56657223796034	0.6009287277877929	0.5894570511071479	0.5815602836879432	0.6008119079837618	0.5751295336787565	0.6288951841359773
26	6434.733391135931	99.96189678000519	0.5793040175122328	0.5531711740511436	0.5460992907801419	0.5107033639143731	0.5548172757475083	0.4730878186968839	0.5918426474375483	0.568051665522537	0.5758865248226951	0.5476550680786687	0.5876623376623377	0.5127478753541076
27	6682.325430769473	100.37295396864647	0.5621539402523821	0.5465427088054612	0.5475177304964539	0.5475177304964539	0.5482954545454546	0.546742209631728	0.574318342776204	0.5526013527556441	0.5574468085106383	0.5714285714285714	0.5546666666666666	0.5892351274787535
28	6928.953926213086	96.80357137066312	0.5626126706155035	0.5555829057638796	0.5446808510638298	0.5941845764854613	0.5365296803652968	0.6657223796033994	0.5886878702034509	0.5851186228266423	0.5546099290780142	0.6151960784313725	0.5421166306695464	0.7110481586402266
